"","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","L4","L"
"T1",0,2,2,4,1,3,3,3,5,3,5,6,1,3,3,3,1,1,4,3,3,3,4,5,3,1,1,2,3,5,4,4,7,4,6,6,6,6,4,7,8,7,8,7,8,4,6,5,5,6,7,5,7,6,7,8,8,8,4,2
"T2",2,0,1,2,3,5,2,1,4,2,3,5,3,2,1,1,3,3,3,1,2,2,2,3,1,4,3,5,1,3,2,2,5,2,4,4,4,4,6,5,6,5,6,5,6,2,4,3,4,5,6,4,5,4,5,6,6,6,6,4
"T3",2,1,0,3,3,5,1,1,3,1,3,5,3,1,1,1,3,3,2,1,2,1,2,3,1,3,3,4,1,4,3,2,5,3,4,4,4,5,6,5,6,5,6,5,6,2,5,3,4,4,5,3,5,4,5,6,6,6,6,4
"T4",4,2,3,0,5,7,4,3,6,4,5,7,5,4,3,3,5,5,5,3,4,4,4,5,3,6,5,7,3,1,4,4,7,4,6,6,6,6,8,7,8,7,8,7,8,4,2,5,6,7,8,6,3,6,7,8,8,8,6,6
"T5",1,3,3,5,0,4,4,4,6,4,6,7,2,4,4,4,2,2,5,4,4,4,5,6,4,2,2,3,4,6,5,5,8,5,7,7,7,7,5,8,9,8,9,8,9,5,7,6,6,7,8,6,8,7,8,9,9,9,5,3
"T6",3,5,5,7,4,0,6,6,8,6,4,3,4,6,6,6,4,4,7,6,6,6,5,4,6,4,4,5,6,8,7,7,4,7,9,9,9,9,7,10,11,10,11,10,11,6,8,7,7,8,9,7,9,8,9,10,10,10,6,4
"T7",3,2,1,4,4,6,0,2,4,2,4,6,4,2,2,2,4,4,3,2,3,2,3,4,2,4,4,5,2,5,4,3,6,4,5,5,5,6,7,6,7,6,7,6,7,3,6,4,5,5,4,4,6,5,6,7,7,7,7,5
"T8",3,1,1,3,4,6,2,0,2,2,4,5,4,2,2,2,4,4,3,2,2,2,3,4,2,4,4,5,2,4,3,3,6,3,5,5,5,5,7,6,7,6,7,6,7,3,5,4,4,5,6,4,6,5,6,7,7,7,7,5
"T9",5,4,3,6,6,8,4,2,0,4,6,8,6,4,4,4,6,6,3,4,5,4,3,4,4,6,6,5,4,7,6,5,8,6,7,7,7,8,9,8,9,8,9,8,9,5,8,6,7,7,6,4,8,7,6,9,9,9,9,7
"T10",3,2,1,4,4,6,2,2,4,0,4,6,4,2,2,2,4,4,3,2,3,2,3,4,2,4,4,5,2,5,4,3,6,4,5,5,5,6,7,6,7,6,7,6,7,3,6,4,5,5,6,4,6,5,6,7,7,7,7,5
"T11",5,3,3,5,6,4,4,4,6,4,0,3,6,4,4,4,6,6,5,4,4,4,3,4,4,6,6,7,4,6,5,5,4,5,7,7,7,7,9,8,9,8,9,8,9,4,6,5,5,6,7,5,7,6,7,8,8,8,8,6
"T12",6,5,5,7,7,3,6,5,8,6,3,0,7,6,5,5,7,7,7,5,6,6,4,3,5,8,7,9,5,8,7,6,3,7,8,8,8,9,10,9,10,9,10,9,10,5,8,6,7,8,9,7,8,7,8,9,9,9,9,7
"T13",1,3,3,5,2,4,4,4,6,4,6,7,0,4,4,2,2,2,5,4,4,4,5,6,4,2,2,3,4,6,5,5,8,5,7,7,7,7,5,8,9,8,9,8,9,5,7,6,6,7,8,6,8,7,8,9,9,9,5,3
"T14",3,2,1,4,4,6,2,2,4,2,4,6,4,0,2,2,4,4,3,2,3,2,3,4,2,4,4,5,2,5,4,3,6,4,5,5,5,6,7,6,7,6,7,6,7,3,6,4,5,5,6,4,6,5,6,7,7,7,7,5
"T15",3,1,1,3,4,6,2,2,4,2,4,5,4,2,0,2,4,4,3,2,2,2,3,4,2,4,4,5,2,4,3,3,6,3,5,5,5,5,7,6,7,6,7,6,7,3,5,4,4,5,6,4,6,5,6,7,7,7,7,5
"T16",3,1,1,3,4,6,2,2,4,2,4,5,2,2,2,0,4,4,3,2,2,2,3,4,2,4,4,5,2,4,3,3,6,3,5,5,5,5,7,6,7,6,7,6,7,3,5,4,4,5,6,4,6,5,6,7,7,7,7,5
"T17",1,3,3,5,2,4,4,4,6,4,6,7,2,4,4,4,0,2,5,4,4,4,5,6,4,2,2,3,4,6,5,5,8,5,7,7,7,7,5,8,9,8,9,8,9,5,7,6,6,7,8,6,8,7,8,9,9,9,5,3
"T18",1,3,3,5,2,4,4,4,6,4,6,7,2,4,4,4,2,0,5,4,4,4,5,6,4,2,2,3,4,4,5,5,8,5,7,7,7,7,5,8,9,8,9,8,9,4,6,5,5,6,7,5,7,6,7,8,8,8,4,2
"T19",4,3,2,5,5,7,3,3,3,3,5,7,5,3,3,3,5,5,0,3,4,3,4,5,3,5,5,4,3,6,5,4,7,5,6,6,6,7,8,7,8,7,8,7,8,4,7,5,6,6,7,3,7,6,7,8,8,8,8,6
"T20",3,1,1,3,4,6,2,2,4,2,4,5,4,2,2,2,4,4,3,0,2,2,3,4,2,4,4,5,2,4,3,3,6,3,5,5,5,5,7,6,7,6,7,6,7,3,5,4,4,5,6,4,6,5,6,7,7,7,7,5
"T21",3,2,2,4,4,6,3,2,5,3,4,6,4,3,2,2,4,4,4,2,0,3,3,4,2,5,4,6,2,5,4,3,6,4,5,5,5,6,7,6,7,6,7,6,7,3,6,4,5,6,7,5,6,5,6,7,7,7,7,5
"T22",3,2,1,4,4,6,2,2,4,2,4,6,4,2,2,2,4,4,3,2,3,0,3,4,2,4,4,5,2,5,4,3,6,4,5,5,5,6,7,6,7,6,7,6,7,3,6,4,5,5,6,4,6,5,6,7,7,7,7,5
"T23",4,2,2,4,5,5,3,3,3,3,3,4,5,3,3,3,5,5,4,3,3,3,0,1,3,5,5,6,3,5,4,4,5,4,6,6,6,6,8,7,8,7,8,7,8,3,5,4,4,5,4,4,6,5,4,7,7,7,7,5
"T24",5,3,3,5,6,4,4,4,4,4,4,3,6,4,4,4,6,6,5,4,4,4,1,0,4,6,6,7,4,6,5,5,4,5,7,7,7,7,9,8,9,8,9,8,9,4,6,5,5,6,5,5,7,6,5,8,8,8,8,6
"T25",3,1,1,3,4,6,2,2,4,2,4,5,4,2,2,2,4,4,3,2,2,2,3,4,0,3,3,4,1,4,3,3,6,3,5,5,5,5,7,6,7,6,7,6,7,3,5,3,4,5,6,4,5,5,6,7,7,7,7,5
"T26",1,4,3,6,2,4,4,4,6,4,6,8,2,4,4,4,2,2,5,4,5,4,5,6,3,0,1,2,3,7,6,5,8,6,7,7,7,8,5,8,9,8,9,8,9,5,8,5,7,7,8,6,7,7,8,9,9,9,5,3
"T27",1,3,3,5,2,4,4,4,6,4,6,7,2,4,4,4,2,2,5,4,4,4,5,6,3,1,0,2,3,6,5,5,8,5,7,7,7,7,5,8,9,8,9,8,9,5,7,5,6,7,8,6,7,7,8,9,9,9,5,3
"T28",2,5,4,7,3,5,5,5,5,5,7,9,3,5,5,5,3,3,4,5,6,5,6,7,4,2,2,0,4,8,7,6,9,7,8,8,8,9,6,9,10,9,10,9,10,6,9,6,8,8,9,5,8,8,9,10,10,10,6,4
"T29",3,1,1,3,4,6,2,2,4,2,4,5,4,2,2,2,4,4,3,2,2,2,3,4,1,3,3,4,0,4,3,3,6,3,5,5,5,5,7,6,7,6,7,6,7,3,5,3,4,5,6,4,5,5,6,7,7,7,7,5
"T30",5,3,4,1,6,8,5,4,7,5,6,8,6,5,4,4,6,4,6,4,5,5,5,6,4,7,6,8,4,0,5,5,8,5,7,7,7,7,9,8,9,8,9,8,9,4,2,5,6,7,8,6,3,6,7,8,8,8,6,6
"T31",4,2,3,4,5,7,4,3,6,4,5,7,5,4,3,3,5,5,5,3,4,4,4,5,3,6,5,7,3,5,0,0,3,1,2,2,2,2,4,3,4,3,4,3,4,4,6,5,6,7,8,6,7,2,3,4,4,4,8,6
"T32",4,2,2,4,5,7,3,3,5,3,5,6,5,3,3,3,5,5,4,3,3,3,4,5,3,5,5,6,3,5,0,0,3,0,2,2,2,2,4,3,4,3,4,3,4,4,6,5,5,6,7,5,7,2,3,4,4,4,8,6
"T33",7,5,5,7,8,4,6,6,8,6,4,3,8,6,6,6,8,8,7,6,6,6,5,4,6,8,8,9,6,8,3,3,0,3,5,5,5,5,7,6,7,6,7,6,7,6,8,7,7,8,9,7,9,4,5,6,6,6,10,8
"T34",4,2,3,4,5,7,4,3,6,4,5,7,5,4,3,3,5,5,5,3,4,4,4,5,3,6,5,7,3,5,1,0,3,0,2,2,2,2,4,3,4,3,4,3,4,4,6,5,6,7,8,6,7,2,3,4,4,4,8,6
"T35",6,4,4,6,7,9,5,5,7,5,7,8,7,5,5,5,7,7,6,5,5,5,6,7,5,7,7,8,5,7,2,2,5,2,0,1,1,0,3,2,3,2,3,2,3,6,8,7,7,8,9,7,9,4,5,3,3,3,10,8
"T36",6,4,4,6,7,9,5,5,7,5,7,8,7,5,5,5,7,7,6,5,5,5,6,7,5,7,7,8,5,7,2,2,5,2,1,0,1,1,3,2,3,2,3,2,3,6,8,7,7,8,9,7,9,4,5,3,3,3,10,8
"T37",6,4,4,6,7,9,5,5,7,5,7,8,7,5,5,5,7,7,6,5,5,5,6,7,5,7,7,8,5,7,2,2,5,2,1,1,0,1,3,2,3,2,3,2,3,6,8,7,7,8,9,7,9,4,5,3,3,3,10,8
"T38",6,4,5,6,7,9,6,5,8,6,7,9,7,6,5,5,7,7,7,5,6,6,6,7,5,8,7,9,5,7,2,2,5,2,0,1,1,0,3,2,3,2,3,2,3,6,8,7,8,9,10,8,9,4,5,3,3,3,10,8
"T39",4,6,6,8,5,7,7,7,9,7,9,10,5,7,7,7,5,5,8,7,7,7,8,9,7,5,5,6,7,9,4,4,7,4,3,3,3,3,0,4,5,4,5,4,5,8,10,9,9,10,11,9,11,6,7,5,5,5,8,6
"T40",7,5,5,7,8,10,6,6,8,6,8,9,8,6,6,6,8,8,7,6,6,6,7,8,6,8,8,9,6,8,3,3,6,3,2,2,2,2,4,0,2,1,2,1,2,7,9,8,8,9,10,8,10,5,6,4,4,4,11,9
"T41",8,6,6,8,9,11,7,7,9,7,9,10,9,7,7,7,9,9,8,7,7,7,8,9,7,9,9,10,7,9,4,4,7,4,3,3,3,3,5,2,0,2,1,2,1,8,10,9,9,10,11,9,11,6,7,5,5,5,12,10
"T42",7,5,5,7,8,10,6,6,8,6,8,9,8,6,6,6,8,8,7,6,6,6,7,8,6,8,8,9,6,8,3,3,6,3,2,2,2,2,4,1,2,0,1,1,2,7,9,8,8,9,10,8,10,5,6,4,4,4,11,9
"T43",8,6,6,8,9,11,7,7,9,7,9,10,9,7,7,7,9,9,8,7,7,7,8,9,7,9,9,10,7,9,4,4,7,4,3,3,3,3,5,2,1,1,0,2,1,8,10,9,9,10,11,9,11,6,7,5,5,5,12,10
"T44",7,5,5,7,8,10,6,6,8,6,8,9,8,6,6,6,8,8,7,6,6,6,7,8,6,8,8,9,6,8,3,3,6,3,2,2,2,2,4,1,2,1,2,0,1,7,9,8,8,9,10,8,10,5,6,4,4,4,11,9
"T45",8,6,6,8,9,11,7,7,9,7,9,10,9,7,7,7,9,9,8,7,7,7,8,9,7,9,9,10,7,9,4,4,7,4,3,3,3,3,5,2,1,2,1,1,0,8,10,9,9,10,11,9,11,6,7,5,5,5,12,10
"V1",4,2,2,4,5,6,3,3,5,3,4,5,5,3,3,3,5,4,4,3,3,3,3,4,3,5,5,6,3,4,4,4,6,4,6,6,6,6,8,7,8,7,8,7,8,0,2,1,1,2,3,1,3,2,3,4,4,4,6,4
"V2",6,4,5,2,7,8,6,5,8,6,6,8,7,6,5,5,7,6,7,5,6,6,5,6,5,8,7,9,5,2,6,6,8,6,8,8,8,8,10,9,10,9,10,9,10,2,0,3,4,5,6,4,1,4,5,6,6,6,6,6
"V3",5,3,3,5,6,7,4,4,6,4,5,6,6,4,4,4,6,5,5,4,4,4,4,5,3,5,5,6,3,5,5,5,7,5,7,7,7,7,9,8,9,8,9,8,9,1,3,0,2,3,4,2,3,3,4,5,5,5,7,5
"V4",5,4,4,6,6,7,5,4,7,5,5,7,6,5,4,4,6,5,6,4,5,5,4,5,4,7,6,8,4,6,6,5,7,6,7,7,7,8,9,8,9,8,9,8,9,1,4,2,0,2,5,3,4,3,4,5,5,5,7,5
"V5",6,5,4,7,7,8,5,5,7,5,6,8,7,5,5,5,7,6,6,5,6,5,5,6,5,7,7,8,5,7,7,6,8,7,8,8,8,9,10,9,10,9,10,9,10,2,5,3,2,0,5,3,5,4,5,6,6,6,8,6
"V6",7,6,5,8,8,9,4,6,6,6,7,9,8,6,6,6,8,7,7,6,7,6,4,5,6,8,8,9,6,8,8,7,9,8,9,9,9,10,11,10,11,10,11,10,11,3,6,4,5,5,0,4,6,5,4,7,7,7,9,7
"V7",5,4,3,6,6,7,4,4,4,4,5,7,6,4,4,4,6,5,3,4,5,4,4,5,4,6,6,5,4,6,6,5,7,6,7,7,7,8,9,8,9,8,9,8,9,1,4,2,3,3,4,0,4,3,4,5,5,5,7,5
"V8",7,5,5,3,8,9,6,6,8,6,7,8,8,6,6,6,8,7,7,6,6,6,6,7,5,7,7,8,5,3,7,7,9,7,9,9,9,9,11,10,11,10,11,10,11,3,1,3,4,5,6,4,0,5,6,7,7,7,7,7
"V9",6,4,4,6,7,8,5,5,7,5,6,7,7,5,5,5,7,6,6,5,5,5,5,6,5,7,7,8,5,6,2,2,4,2,4,4,4,4,6,5,6,5,6,5,6,2,4,3,3,4,5,3,5,0,1,2,2,2,8,6
"V10",7,5,5,7,8,9,6,6,6,6,7,8,8,6,6,6,8,7,7,6,6,6,4,5,6,8,8,9,6,7,3,3,5,3,5,5,5,5,7,6,7,6,7,6,7,3,5,4,4,5,4,4,6,1,0,3,3,3,9,7
"V11",8,6,6,8,9,10,7,7,9,7,8,9,9,7,7,7,9,8,8,7,7,7,7,8,7,9,9,10,7,8,4,4,6,4,3,3,3,3,5,4,5,4,5,4,5,4,6,5,5,6,7,5,7,2,3,0,1,1,10,8
"V12",8,6,6,8,9,10,7,7,9,7,8,9,9,7,7,7,9,8,8,7,7,7,7,8,7,9,9,10,7,8,4,4,6,4,3,3,3,3,5,4,5,4,5,4,5,4,6,5,5,6,7,5,7,2,3,1,0,1,10,8
"V13",8,6,6,8,9,10,7,7,9,7,8,9,9,7,7,7,9,8,8,7,7,7,7,8,7,9,9,10,7,8,4,4,6,4,3,3,3,3,5,4,5,4,5,4,5,4,6,5,5,6,7,5,7,2,3,1,1,0,10,8
"L4",4,6,6,6,5,6,7,7,9,7,8,9,5,7,7,7,5,4,8,7,7,7,7,8,7,5,5,6,7,6,8,8,10,8,10,10,10,10,8,11,12,11,12,11,12,6,6,7,7,8,9,7,7,8,9,10,10,10,0,2
"L",2,4,4,6,3,4,5,5,7,5,6,7,3,5,5,5,3,2,6,5,5,5,5,6,5,3,3,4,5,6,6,6,8,6,8,8,8,8,6,9,10,9,10,9,10,4,6,5,5,6,7,5,7,6,7,8,8,8,2,0
